,ip,app,device,os,channel,is_attributed,date,time
98,173847,3,1,13,452,0,8,14
99,145747,12,1,13,178,0,7,13
100,94081,9,1,18,445,0,9,2
101,74725,9,1,13,334,0,8,10
102,51895,18,1,17,107,0,9,7
103,75431,9,1,13,334,0,8,11
104,104922,14,1,3,442,0,8,4
105,173247,14,1,6,439,0,6,23
106,124006,12,1,13,242,0,7,5
107,77310,15,1,19,315,0,7,15
108,61667,8,2,97,259,0,7,5
109,118349,21,1,19,128,0,9,1
110,46650,2,1,13,237,0,9,3
111,337099,3,1,19,280,0,9,7
112,34067,1,1,15,134,0,7,15
113,61635,15,1,10,3,0,8,11
114,145260,14,1,19,480,0,8,4
115,110245,8,1,22,145,0,7,22
116,77730,15,1,13,245,0,7,16
117,108831,18,1,10,107,0,9,6
118,124794,23,1,13,153,0,8,13
119,61706,14,1,15,439,0,9,12
120,91175,23,1,13,153,0,7,1
121,82618,18,1,19,107,0,8,9
122,81970,7,1,18,101,0,9,11
123,301417,22,1,19,116,0,8,23
124,187501,12,1,41,245,0,9,1
125,20295,3,1,13,280,0,8,15
126,25885,3,1,19,424,0,9,1
127,104753,1,1,19,125,0,7,9
128,191339,28,1,19,135,0,7,10
129,103208,26,1,22,121,0,9,15
130,92092,23,1,19,153,0,7,11
131,82427,3,1,11,280,0,8,8
132,47543,13,1,19,400,0,7,13
133,335694,2,1,8,435,0,9,5
134,175559,3,1,8,442,0,8,3
135,158312,14,1,13,439,0,7,5
136,108040,3,1,19,115,0,8,9
137,85072,17,2,9,280,0,7,5
138,197093,15,1,19,265,0,7,23
139,209540,2,1,18,477,0,7,13
140,79909,21,1,4,128,0,7,19
141,199702,18,1,17,376,0,7,4
142,40372,9,1,31,442,0,8,0
143,178124,2,1,13,469,0,8,2
144,18654,18,1,27,107,0,7,8
145,20309,8,1,13,140,0,9,10
146,74640,3,1,16,424,0,9,1
147,93460,15,1,13,130,0,8,5
148,80455,3,1,15,371,0,7,1
149,104729,12,1,6,140,0,8,13
150,58485,3,1,25,280,0,8,7
151,91885,3,1,16,442,0,8,17
152,111324,12,1,13,178,0,7,3
153,27342,12,1,19,259,0,9,1
154,153208,18,1,13,107,0,7,16
155,54868,12,1,6,259,0,7,18
156,278420,2,1,3,469,0,8,11
157,204614,9,1,3,466,0,9,9
158,85172,2,1,19,435,0,9,12
159,103161,13,1,3,400,0,7,12
160,59075,14,2,30,467,0,9,11
161,239191,3,1,19,452,0,8,12
162,85839,2,1,19,435,0,7,6
163,71424,3,1,22,280,0,7,6
164,63516,27,1,13,153,0,9,12
165,37919,6,1,19,459,0,6,17
166,43809,3,1,17,280,0,8,11
167,39454,6,1,13,125,0,7,13
168,8718,12,1,13,259,0,9,2
169,58950,2,1,19,237,0,9,1
170,86812,2,1,32,401,0,7,12
171,55805,18,1,16,107,0,7,18
172,175660,20,1,13,259,0,8,1
173,29785,14,1,19,113,0,8,2
174,88881,9,1,12,466,0,9,11
175,134615,12,1,9,178,0,7,10
176,34352,3,1,19,211,0,8,6
177,124320,3,1,17,409,0,8,6
178,80306,14,1,22,401,0,8,23
179,24830,3,2,19,280,0,9,5
180,195224,12,1,19,245,0,7,7
181,72805,26,1,6,121,0,7,10
182,93498,25,1,19,259,0,9,9
183,111685,22,1,22,116,0,8,6
184,83366,1,1,17,153,0,9,2
185,94844,3,1,53,452,0,9,8
186,105311,18,1,13,121,0,9,8
187,168144,3,1,20,280,0,9,0
188,20592,3,1,17,280,0,9,5
189,100002,3,1,41,280,0,8,2
190,37515,3,1,19,280,0,8,15
191,121357,3,1,13,280,0,7,0
192,63925,22,2,17,496,0,7,8
193,83366,12,1,6,265,0,8,5
194,26995,3,1,13,280,0,7,5
195,37836,2,1,19,219,0,9,8
196,11090,3,1,19,280,0,8,9
197,65785,3,1,19,280,0,9,1
198,94765,10,1,10,377,0,8,4
199,98363,12,1,25,481,0,7,10
200,106241,2,1,53,477,0,7,3
201,112950,15,1,25,386,0,7,4
202,11668,20,1,8,478,0,8,0
203,91885,15,1,19,315,0,8,15
204,105292,8,1,17,145,0,7,17
205,108048,22,1,19,116,0,8,4
206,113751,12,1,8,259,0,7,0
207,66232,2,1,18,469,0,9,11
208,69315,3,1,1,489,0,8,8
209,64663,3,1,19,280,0,9,5
210,69197,2,1,26,469,0,7,3
211,125481,18,1,13,134,0,8,14
212,143473,14,1,13,463,0,7,20
213,169833,12,1,20,265,0,9,7
214,75634,3,1,19,280,0,8,11
215,46132,1,1,13,153,0,8,2
216,111025,18,1,1,439,0,7,9
217,62145,2,1,13,219,0,7,15
218,191961,18,1,17,107,0,7,1
219,133804,9,1,18,334,0,9,13
220,61423,20,1,19,259,0,7,6
221,49850,12,1,32,105,0,8,20
222,151507,2,1,47,435,0,7,15
223,73456,60,1,46,21,0,8,5
224,5348,58,3866,866,347,0,9,14
225,88789,9,1,30,234,0,9,4
226,37892,2,1,19,236,0,8,13
227,234832,8,1,41,145,0,8,7
228,145896,2,1,9,212,0,6,16
229,109299,15,2,65,245,0,7,22
230,12549,3,1,27,280,0,7,11
231,103443,2,1,13,237,0,7,20
232,46637,14,1,22,379,0,7,9
233,11907,15,1,41,265,0,8,5
234,98531,12,1,19,328,0,9,13
235,198014,3,1,13,173,0,7,15
236,47689,9,1,8,244,0,7,11
237,96037,12,1,19,328,0,9,4
238,3966,60,1,3,21,0,8,22
239,34725,3,1,1,280,0,8,11
240,285115,18,1,13,439,0,9,15
241,15540,9,1,13,334,0,7,10
242,49882,21,1,28,232,0,8,8
243,20411,21,1,14,128,0,7,5
244,33076,3,1,19,280,0,7,8
245,103021,3,1,19,280,0,8,14
246,313388,3,1,8,280,0,9,0
247,76453,9,1,3,466,0,9,6
248,175837,2,1,19,205,0,9,8
249,58614,26,1,16,266,0,9,14
250,49439,28,1,19,135,0,9,10
251,51544,18,1,22,439,0,9,2
252,334359,9,1,13,445,0,8,17
253,59142,3,1,19,173,0,8,13
254,246196,2,1,17,219,0,8,12
255,158559,18,1,37,107,0,7,1
256,68362,15,1,6,265,0,9,12
257,14130,3,1,26,379,0,9,14
258,24966,21,1,13,128,0,9,1
259,45745,23,1,20,153,0,9,13
260,67658,15,1,19,245,0,7,12
261,90306,9,1,19,258,0,8,14
262,23620,11,1,19,173,0,7,5
263,175837,18,1,13,439,0,8,12
264,122292,64,1,19,459,0,7,10
265,57335,3,1,8,280,0,7,5
266,159688,9,1,19,334,0,7,10
267,93226,9,1,19,442,0,7,0
268,97814,15,1,13,130,0,8,8
269,76529,14,1,13,442,0,8,11
270,51778,3,1,19,130,0,9,12
271,88743,2,1,13,237,0,7,3
272,43899,27,1,13,153,0,9,11
273,5348,18,1,8,107,0,7,2
274,50164,2,1,18,435,0,7,15
275,357463,26,1,19,262,0,9,8
276,131283,12,1,2,145,0,7,11
277,291594,7,1,55,101,0,9,10
278,87865,12,1,37,140,0,9,2
279,116067,18,1,19,121,0,9,0
280,115581,2,1,19,205,0,7,16
281,5314,18,1,19,107,0,9,9
282,81009,13,1,12,477,0,8,2
283,105170,9,1,13,232,0,7,2
284,224120,19,0,29,213,1,8,2
285,7815,12,1,17,265,0,8,14
286,30724,14,1,25,463,0,7,0
287,290743,12,1,18,265,0,9,14
288,22088,12,1,13,409,0,8,3
289,73487,3,1,8,280,0,8,12
290,38755,9,1,13,134,0,7,0
291,173141,9,1,22,215,0,9,9
292,125271,12,1,26,105,0,7,11
293,84774,15,1,22,140,0,9,11
294,195958,26,1,42,121,0,9,5
295,87998,20,1,20,478,0,8,10
296,24977,32,1,39,376,0,7,12
297,7785,11,1,20,219,0,8,15
298,27849,12,1,34,328,0,7,9
299,105475,7,1,40,101,0,9,14
300,68568,18,1,22,107,0,9,7
301,340406,12,1,16,178,0,9,9
302,28310,3,1,19,280,0,9,5
303,32001,21,1,13,128,0,7,11
304,53454,18,2,97,121,0,9,14
305,164682,14,1,13,439,0,7,7
306,7246,23,1,9,153,0,9,3
307,92844,3,1,20,452,0,7,13
308,521,64,1,19,459,0,8,9
309,10760,18,1,19,107,0,9,0
310,103340,3,1,19,130,0,8,17
311,106541,17,1,13,280,0,8,0
312,44607,12,1,15,178,0,8,5
313,52923,24,1,22,105,0,9,7
314,45841,3,1,14,280,0,9,2
315,7372,20,1,16,478,0,9,8
316,83668,12,1,47,328,0,9,6
317,18350,1,1,10,137,0,7,2
318,109764,18,3032,607,107,0,7,13
319,105475,27,1,32,153,0,7,14
320,30443,9,1,13,334,0,9,6
321,141474,3,1,13,409,0,9,13
322,134346,2,1,19,452,0,7,13
323,110595,2,1,17,258,0,7,14
324,81001,12,1,13,328,0,9,9
325,175369,20,1,13,478,0,7,14
326,114439,22,1,18,116,0,8,13
327,53960,2,1,13,205,0,9,15
328,5788,3,1,13,280,0,9,3
329,79921,20,1,8,478,0,8,23
330,59401,8,1,3,145,0,8,16
331,55776,9,1,13,127,0,8,13
332,92766,12,1,13,259,0,7,6
333,206284,12,2,79,145,0,6,17
334,174783,4,1,49,101,0,7,3
335,25321,12,1,13,265,0,9,8
336,73516,53,3866,866,347,0,9,0
337,111414,18,1,13,121,0,6,21
338,176758,11,1,20,319,0,7,1
339,144507,12,1,17,265,0,8,2
340,106279,12,1,19,178,0,7,23
341,73582,1,1,19,153,0,7,15
342,99945,3,1,19,480,0,7,2
343,93424,2,1,19,435,0,9,9
344,157650,3,1,17,130,0,7,3
345,120594,18,1,37,439,0,9,10
346,7346,2,1,37,477,0,7,14
347,86767,12,1,35,340,0,8,7
348,26934,8,1,1,145,0,7,0
349,27095,23,1,18,153,0,8,1
350,166206,15,1,19,412,0,9,1
351,78564,12,1,19,178,0,8,0
352,158511,14,1,9,480,0,7,10
353,81013,11,1,13,319,0,8,3
354,211682,18,3032,607,107,0,7,9
355,100182,11,1,25,137,0,8,17
356,95640,12,1,17,178,0,7,9
357,87879,9,1,10,134,0,6,16
358,74606,24,1,13,105,0,7,4
359,79012,3,1,4,211,0,8,18
360,84942,3,1,30,280,0,8,3
361,66272,15,1,6,245,0,7,23
362,38413,3,1,13,19,0,8,8
363,89475,14,1,27,442,0,9,9
364,33661,12,1,13,409,0,7,16
365,100929,12,1,26,424,0,8,2
366,9795,3,1,13,205,0,8,4
367,182972,3,1,19,280,0,7,3
368,162383,3,1,10,205,0,8,4
369,280918,15,1,19,3,0,8,11
370,114878,2,1,19,205,0,9,12
371,112926,3,1,17,424,0,7,1
372,2144,15,1,22,278,0,7,23
373,186269,12,1,44,265,0,6,18
374,111025,18,1,19,107,0,9,12
375,38941,2,1,19,477,0,8,16
376,92160,3,1,19,480,0,7,5
377,175051,2,1,19,243,0,7,2
378,217464,12,1,19,259,0,8,3
379,81468,21,1,17,128,0,7,3
380,60428,21,2,9,128,0,8,15
381,49431,9,2,19,127,0,8,15
382,18682,3,1,20,280,0,9,5
383,90782,9,1,19,134,0,7,0
384,44527,21,2,19,128,0,9,10
385,88756,11,1,19,360,0,9,9
386,25126,3,1,37,135,0,7,10
387,68525,15,1,11,153,0,7,7
388,111182,9,1,19,466,0,8,16
389,70098,14,1,19,442,0,7,14
390,75007,12,1,6,259,0,7,14
391,33021,3,1,40,280,0,9,0
392,8499,15,1,19,3,0,9,1
393,120111,3,1,18,409,0,9,14
394,37135,21,2,13,232,0,8,2
395,106035,2,1,13,122,0,9,14
396,99897,2,1,6,237,0,8,11
397,52413,18,1,25,107,0,8,11
398,9923,12,1,18,328,0,8,13
399,10785,9,1,32,489,0,9,3
400,4680,2,1,19,122,0,7,10
401,67884,3,1,8,424,0,7,3
402,304381,18,1,9,121,0,8,17
403,6113,28,1,19,135,0,6,18
404,114461,2,1,19,237,0,8,11
405,166443,9,1,19,244,0,9,11
406,116351,2,1,19,435,0,9,2
407,333899,6,1,32,125,0,8,16
408,119868,3,1,19,130,0,9,10
409,229907,2,1,22,477,0,8,4
410,53964,18,1,20,107,0,9,10
411,73487,3,1,47,417,0,8,14
412,105782,15,2,13,245,0,9,14
413,117867,9,1,8,234,0,9,14
414,93313,12,1,13,328,0,7,2
415,14463,18,1,19,107,0,8,12
416,141540,1,1,10,135,0,9,1
417,168224,3,1,9,280,0,8,13
418,24941,3,1,13,130,0,7,2
419,6262,3,1,8,280,0,7,8
420,44443,12,1,6,140,0,8,4
421,102301,18,1,3,121,0,9,7
422,8356,15,1,17,153,0,7,12
423,39175,9,1,18,215,0,7,14
424,47306,3,1,13,466,0,8,23
425,79881,3,1,19,205,0,8,16
426,28420,1,1,25,115,0,9,13
427,100339,3,1,13,424,0,7,19
428,69043,12,1,18,328,0,9,9
429,205574,9,1,12,466,0,8,4
430,50302,3,1,13,205,0,7,10
431,262808,15,1,18,245,0,8,13
432,43537,14,1,14,379,0,7,1
433,92922,9,1,19,442,0,9,7
434,164215,25,1,13,259,0,7,6
435,36979,24,2,13,105,0,7,11
436,339433,12,1,17,178,0,9,2
437,81514,2,1,13,477,0,7,23
438,204845,2,1,16,469,0,9,7
439,201540,14,1,13,439,0,6,17
440,92274,18,1,12,376,0,9,10
441,14639,26,1,13,121,0,6,16
442,114531,15,1,37,245,0,7,0
443,57994,9,1,13,134,0,7,23
444,290631,18,1,27,439,0,9,5
445,58524,3,1,15,480,0,9,4
446,84661,14,1,22,480,0,8,8
447,163553,18,1,19,317,0,7,4
448,100309,2,1,16,477,0,8,2
449,1067,3,1,26,409,0,7,11
450,259034,21,1,27,128,0,7,23
451,30424,18,1,19,107,0,8,10
452,121287,3,1,53,480,0,7,23
453,91048,1,1,4,134,0,8,20
454,167783,3,1,35,130,0,8,6
455,111195,3,1,8,489,0,7,9
456,117722,13,1,19,477,0,8,12
457,87167,3,1,20,280,0,9,4
458,44067,14,1,10,401,0,8,23
459,163416,14,1,13,379,0,7,1
460,67981,27,1,19,153,0,8,12
461,5621,12,1,1,160,0,7,23
462,88228,2,1,19,364,0,9,13
463,22352,3,1,13,280,0,7,6
464,85904,8,2,13,140,0,7,4
465,95750,18,1,16,439,0,8,11
466,58194,25,1,19,259,0,8,8
467,60752,2,1,23,237,0,9,15
468,30587,18,1,25,439,0,7,6
469,166181,18,1,13,439,0,7,9
470,43827,7,1,13,101,0,7,10
471,23322,12,1,15,178,0,7,10
472,85631,2,1,6,237,0,7,4
473,9281,15,1,13,386,0,9,6
474,81837,12,1,19,259,0,9,13
475,98365,13,1,19,477,0,9,12
476,125990,3,1,9,115,0,8,13
477,101650,12,1,13,328,0,9,4
478,93920,9,1,13,107,0,9,15
479,207899,3,1,25,424,0,9,0
480,63701,9,1,23,334,0,7,8
481,272894,10,1,7,113,1,8,6
482,95766,15,1,19,245,0,7,2
483,62016,12,1,27,259,0,9,5
484,107025,3,1,19,280,0,8,10
485,33924,3,1,42,211,0,9,8
486,231434,12,1,3,178,0,8,5
487,118079,2,1,19,236,0,8,11
488,141207,3,1,13,280,0,9,1
489,44458,12,1,13,328,0,7,12
490,54524,3,2,13,280,0,8,22
491,114636,12,1,23,245,0,9,2
492,359429,9,1,13,466,0,9,9
493,119289,18,1,19,107,0,8,12
494,18942,9,1,25,215,0,8,13
495,7340,2,1,13,212,0,8,16
496,122282,8,1,17,145,0,8,2
497,7435,125,0,0,110,0,8,11
498,12167,12,1,22,265,0,7,1
499,6831,12,1,9,265,0,7,7
500,83366,12,1,10,140,0,8,12
501,8401,9,2,42,258,0,6,22
502,29467,18,1,19,107,0,9,13
503,115814,1,2,9,134,0,8,0
504,181741,3,1,18,137,0,7,13
505,17572,2,1,19,452,0,7,2
506,86767,18,1,14,107,0,9,15
507,22256,17,1,13,280,0,7,3
508,194163,2,1,19,469,0,9,1
509,2511,2,1,6,317,0,8,10
510,47648,12,1,22,328,0,8,3
511,95866,14,1,13,480,0,7,7
512,114612,3,1,18,280,0,8,2
513,122688,27,1,13,153,0,8,11
514,93054,12,1,13,328,0,6,22
515,185372,12,1,13,178,0,7,2
516,73516,204,3543,748,347,0,8,14
517,82813,15,1,19,245,0,7,4
518,2539,12,1,28,328,0,9,2
519,116351,26,1,37,266,0,8,5
520,35335,21,1,41,232,0,7,11
521,73983,18,1,9,134,0,7,11
522,43233,6,1,10,125,0,9,2
523,236144,1,1,27,153,0,8,5
524,75595,9,1,22,134,0,9,0
525,253793,9,1,6,445,0,9,7
526,102255,12,1,19,178,0,7,9
527,64639,18,1,47,107,0,9,10
528,19216,1,1,17,178,0,6,22
529,23271,3,1,19,19,0,8,6
530,118125,36,1,18,110,0,9,10
531,89567,12,1,13,135,0,8,11
532,6996,1,1,9,134,0,7,22
533,29533,2,1,13,122,0,7,15
534,70522,3,1,6,137,0,7,6
535,7795,7,1,19,101,0,7,6
536,126985,2,1,19,219,0,6,17
537,49407,14,1,19,379,0,8,11
538,90500,3,1,13,280,0,9,3
539,13034,18,1,35,121,0,9,13
540,42062,12,1,16,178,0,8,5
541,43809,12,1,17,178,0,9,1
542,43537,15,1,13,265,0,7,6
543,27818,9,1,19,334,0,7,9
544,25563,64,1,19,459,0,7,18
545,101894,12,1,13,259,0,7,7
546,51871,3,1,18,280,0,8,5
547,110628,18,1,19,134,0,9,13
548,21925,10,1,6,377,0,8,17
549,209627,3,1,13,280,0,8,12
550,86285,9,1,13,244,0,7,2
551,91250,14,1,6,489,0,7,3
552,64960,3,1,19,417,0,8,0
553,86388,12,1,35,245,0,7,22
554,26682,12,1,3,259,0,7,13
555,139216,15,1,13,140,0,8,10
556,106223,2,1,13,122,0,7,17
557,361422,24,1,11,178,0,9,2
558,42240,9,1,20,145,0,8,12
559,75374,5,1,8,377,0,9,4
560,88162,18,1,18,439,0,9,13
561,46132,3,1,13,115,0,8,3
562,196018,12,1,25,205,0,9,9
563,43827,8,1,13,140,0,7,2
564,9147,7,1,18,101,0,9,6
565,106000,1,1,19,134,0,9,13
566,69605,28,1,19,135,0,9,7
567,53454,12,1,19,409,0,7,14
568,235120,23,1,19,153,0,8,15
569,46413,6,1,20,125,0,7,12
570,10785,18,1,18,107,0,8,4
571,5729,3,1,13,280,0,7,22
572,4442,15,2,9,245,0,8,12
573,22385,12,1,22,245,0,9,6
574,60381,12,1,36,140,0,9,2
575,98944,15,1,22,140,0,8,17
576,118339,11,1,35,122,0,6,17
577,125175,3,1,8,280,0,9,1
578,23986,3,1,25,280,0,9,3
579,52961,18,1,20,121,0,7,13
580,45745,6,1,13,459,0,7,17
581,108947,1,1,18,134,0,9,0
582,95766,12,1,13,140,0,9,14
583,66596,27,1,13,153,0,8,0
584,116935,18,1,8,107,0,7,23
585,25679,2,1,19,237,0,9,1
586,118284,15,1,27,265,0,8,17
587,325602,25,1,13,259,0,9,13
588,14895,3,1,13,280,0,9,4
589,71017,64,1,13,459,0,8,8
590,211747,2,1,6,477,0,8,11
591,37161,7,1,36,101,0,8,18
592,162367,19,0,99,347,0,8,23
593,2600,23,1,22,153,0,8,12
594,117989,18,1,10,107,0,9,12
595,52672,3,1,19,280,0,8,13
596,51686,8,1,25,145,0,7,8
597,85150,15,1,3,379,0,8,21
598,112291,6,1,15,459,0,9,3
599,81973,27,1,20,153,0,9,15
600,66184,9,1,13,445,0,9,3
601,201182,3,1,25,211,0,8,16
602,96021,18,1,6,107,0,8,12
603,40372,3,1,35,280,0,7,8
604,213099,3,1,25,280,0,8,14
605,93587,18,1,13,134,0,9,14
606,47145,11,1,13,319,0,7,7
607,260488,32,1,23,376,0,8,6
608,166986,20,1,13,259,0,7,4
609,8005,12,1,18,105,0,9,7
610,28110,15,1,25,265,0,9,14
611,49754,3,1,13,137,0,7,10
612,110325,10,1,19,317,0,9,7
613,72467,15,1,41,386,0,8,8
614,40045,2,1,8,377,0,7,16
615,92834,2,1,19,477,0,8,7
616,119008,12,1,22,265,0,8,14
617,178522,9,1,18,442,0,7,5
618,47140,12,1,30,265,0,8,2
619,342636,15,1,31,379,0,9,2
620,131492,14,1,22,480,0,6,23
621,76181,2,1,23,122,0,9,12
622,20449,15,1,19,245,0,7,12
623,59903,12,1,19,178,0,8,7
624,144208,9,1,13,442,0,7,16
625,13212,11,1,19,469,0,9,3
626,97883,2,1,35,435,0,9,6
627,552,12,1,13,259,0,9,5
628,63787,13,1,18,400,0,7,5
629,59910,18,1,19,121,0,7,14
630,35705,12,1,19,328,0,7,6
631,67467,12,1,17,124,0,9,1
632,33762,64,1,13,459,0,9,0
633,78787,18,1,22,134,0,8,13
634,16478,9,1,19,334,0,8,7
635,63516,9,1,19,234,0,8,13
636,81522,64,1,27,459,0,7,6
637,21126,6,1,13,459,0,9,9
638,12543,2,1,2,477,0,8,17
639,203499,12,1,13,122,0,7,17
640,66918,18,1,79,121,0,9,15
641,95585,3,1,43,409,0,8,22
642,47293,25,1,18,259,0,8,3
643,219,9,1,19,232,0,7,15
644,116253,3,1,15,424,0,9,10
645,167368,2,1,15,236,0,8,15
646,27083,15,1,30,278,0,8,20
647,106143,3,1,31,280,0,7,12
648,213289,13,1,13,477,0,9,0
649,15251,12,1,22,19,0,9,0
650,56516,19,7,21,282,0,8,11
651,40838,2,1,14,377,0,7,4
652,124763,12,1,18,140,0,7,2
653,85107,3,1,2,379,0,9,6
654,125355,7,1,13,101,0,7,10
655,147865,3,1,22,280,0,9,2
656,58415,3,1,41,280,0,9,0
657,8482,3,1,25,211,0,8,17
658,83252,7,1,13,101,0,7,10
659,111299,26,1,13,121,0,7,6
660,85536,15,1,17,140,0,8,15
661,15360,2,1,14,237,0,9,6
662,49783,12,1,19,409,0,8,9
663,48282,18,3866,866,107,0,9,10
664,14764,18,1,19,107,0,7,22
665,80331,12,1,17,409,0,7,13
666,97684,12,1,19,265,0,7,15
667,227493,18,1,1,107,0,8,1
668,3649,13,1,53,477,0,7,3
669,125837,3,1,14,173,0,7,15
670,92964,12,1,13,178,0,8,6
671,16535,3,1,64,280,0,8,11
672,28627,2,1,19,243,0,9,5
673,110596,3,1,19,280,0,7,11
674,1195,17,1,10,280,0,8,2
675,4570,32,1,15,376,0,9,3
676,146717,9,1,13,134,0,7,13
677,20593,18,1,3,107,0,9,2
678,259170,3,1,35,280,0,8,3
679,25097,2,1,10,205,0,6,17
680,108858,6,1,25,125,0,7,12
681,188580,21,1,3,128,0,9,1
682,105748,3,1,17,30,0,8,2
683,67197,12,1,41,340,0,8,10
684,183032,3,1,13,379,0,7,0
685,94877,9,1,22,334,0,8,12
686,196951,14,1,25,349,0,8,8
687,29943,18,1,13,107,0,9,10
688,264419,6,1,19,459,0,8,8
689,211520,2,1,10,469,0,7,12
690,17899,6,1,19,459,0,9,7
691,100510,2,1,19,435,0,7,12
692,12828,26,1,13,266,0,7,13
693,120005,12,1,53,245,0,9,5
694,29290,18,1,13,107,0,7,2
695,95766,15,1,47,245,0,8,7
696,88143,27,1,27,153,0,7,0
697,159329,3,1,19,280,0,8,6
698,74306,25,1,37,259,0,7,23
699,105587,9,1,14,466,0,9,0
700,93620,202,1,22,421,0,7,12
701,140653,1,1,13,178,0,7,2
702,44490,1,1,17,153,0,8,10
703,60131,3,1,19,280,0,8,0
704,119347,2,1,19,258,0,8,12
705,111025,18,1,13,107,0,8,16
706,23544,26,1,37,121,0,8,2
707,119901,14,1,19,208,0,7,0
708,100393,3,2,58,402,0,9,14
709,166224,10,1,25,113,0,6,23
710,203958,18,1,1,107,0,9,10
711,50983,32,1,19,376,0,7,8
712,14271,3,1,13,409,0,8,4
713,67188,3,1,19,211,0,7,3
714,210014,2,1,18,477,0,7,12
715,152055,11,1,53,469,0,8,11
716,7565,2,1,37,237,0,8,5
717,125205,2,1,13,477,0,8,19
718,123623,7,1,13,101,0,9,2
719,177104,2,1,19,469,0,9,0
720,116677,21,1,19,128,0,7,3
721,5348,1,1,30,115,0,9,12
722,118094,3,1,9,409,0,9,2
723,25737,2,1,19,205,0,7,13
724,1462,12,1,17,328,0,8,0
725,84107,12,1,19,178,0,7,7
726,49407,15,2,36,3,0,8,23
727,95820,19,0,50,213,0,9,10
728,101690,15,1,17,153,0,7,6
729,135920,11,1,19,173,0,7,10
730,125730,12,1,22,409,0,7,6
731,70683,28,1,13,135,0,7,16
732,28221,3,1,31,480,0,7,10
733,116597,2,1,15,219,0,9,12
